start_id,end_id,relationship
1,3,BELONGS_TO
2,13,BELONGS_TO
3,9,BELONGS_TO
4,14,BELONGS_TO
5,14,BELONGS_TO
6,6,BELONGS_TO
7,15,BELONGS_TO
8,4,BELONGS_TO
9,4,BELONGS_TO
10,1,BELONGS_TO
11,5,BELONGS_TO
12,10,BELONGS_TO
13,4,BELONGS_TO
14,9,BELONGS_TO
15,11,BELONGS_TO
16,3,BELONGS_TO
17,7,BELONGS_TO
18,2,BELONGS_TO
19,14,BELONGS_TO
20,9,BELONGS_TO
21,1,BELONGS_TO
22,4,BELONGS_TO
23,15,BELONGS_TO
24,4,BELONGS_TO
25,1,BELONGS_TO
26,6,BELONGS_TO
27,15,BELONGS_TO
28,15,BELONGS_TO
29,13,BELONGS_TO
30,15,BELONGS_TO
31,7,BELONGS_TO
32,9,BELONGS_TO
33,12,BELONGS_TO
34,6,BELONGS_TO
35,10,BELONGS_TO
36,7,BELONGS_TO
37,15,BELONGS_TO
38,2,BELONGS_TO
39,4,BELONGS_TO
40,15,BELONGS_TO
41,9,BELONGS_TO
42,15,BELONGS_TO
43,2,BELONGS_TO
44,10,BELONGS_TO
45,9,BELONGS_TO
46,3,BELONGS_TO
47,5,BELONGS_TO
48,12,BELONGS_TO
49,1,BELONGS_TO
50,1,BELONGS_TO
51,5,BELONGS_TO
52,2,BELONGS_TO
53,15,BELONGS_TO
54,6,BELONGS_TO
55,15,BELONGS_TO
56,12,BELONGS_TO
57,9,BELONGS_TO
58,13,BELONGS_TO
59,10,BELONGS_TO
60,14,BELONGS_TO
61,8,BELONGS_TO
62,5,BELONGS_TO
63,11,BELONGS_TO
64,14,BELONGS_TO
65,1,BELONGS_TO
66,15,BELONGS_TO
67,8,BELONGS_TO
68,11,BELONGS_TO
69,7,BELONGS_TO
70,8,BELONGS_TO
71,13,BELONGS_TO
72,7,BELONGS_TO
73,14,BELONGS_TO
74,13,BELONGS_TO
75,7,BELONGS_TO
76,6,BELONGS_TO
77,12,BELONGS_TO
78,2,BELONGS_TO
79,1,BELONGS_TO
80,12,BELONGS_TO
81,3,BELONGS_TO
82,14,BELONGS_TO
83,14,BELONGS_TO
84,12,BELONGS_TO
85,4,BELONGS_TO
86,5,BELONGS_TO
87,9,BELONGS_TO
88,13,BELONGS_TO
89,3,BELONGS_TO
90,10,BELONGS_TO
91,9,BELONGS_TO
92,6,BELONGS_TO
93,11,BELONGS_TO
94,3,BELONGS_TO
95,12,BELONGS_TO
96,7,BELONGS_TO
97,5,BELONGS_TO
98,6,BELONGS_TO
99,8,BELONGS_TO
100,13,BELONGS_TO
101,11,BELONGS_TO
102,13,BELONGS_TO
103,5,BELONGS_TO
104,5,BELONGS_TO
105,14,BELONGS_TO
106,3,BELONGS_TO
107,15,BELONGS_TO
108,12,BELONGS_TO
109,11,BELONGS_TO
110,12,BELONGS_TO
111,12,BELONGS_TO
112,13,BELONGS_TO
113,8,BELONGS_TO
114,13,BELONGS_TO
115,10,BELONGS_TO
116,15,BELONGS_TO
117,11,BELONGS_TO
118,15,BELONGS_TO
119,3,BELONGS_TO
120,11,BELONGS_TO
121,8,BELONGS_TO
122,4,BELONGS_TO
123,1,BELONGS_TO
124,10,BELONGS_TO
125,6,BELONGS_TO
126,10,BELONGS_TO
127,13,BELONGS_TO
128,11,BELONGS_TO
129,1,BELONGS_TO
130,4,BELONGS_TO
131,14,BELONGS_TO
132,13,BELONGS_TO
133,10,BELONGS_TO
134,13,BELONGS_TO
135,9,BELONGS_TO
136,3,BELONGS_TO
