start_id,end_id,relationship
1,46,PART_OF
2,44,PART_OF
3,21,PART_OF
4,18,PART_OF
5,46,PART_OF
6,44,PART_OF
7,10,PART_OF
8,31,PART_OF
9,2,PART_OF
10,2,PART_OF
11,41,PART_OF
12,9,PART_OF
13,43,PART_OF
14,28,PART_OF
15,8,PART_OF
16,29,PART_OF
17,47,PART_OF
18,30,PART_OF
19,41,PART_OF
20,37,PART_OF
21,30,PART_OF
22,1,PART_OF
23,29,PART_OF
24,5,PART_OF
25,32,PART_OF
26,26,PART_OF
27,44,PART_OF
28,8,PART_OF
29,23,PART_OF
30,23,PART_OF
31,33,PART_OF
32,37,PART_OF
33,17,PART_OF
34,10,PART_OF
35,39,PART_OF
36,46,PART_OF
37,33,PART_OF
38,49,PART_OF
39,19,PART_OF
40,26,PART_OF
41,24,PART_OF
42,25,PART_OF
43,18,PART_OF
44,49,PART_OF
45,45,PART_OF
46,9,PART_OF
47,16,PART_OF
48,4,PART_OF
49,38,PART_OF
50,27,PART_OF
51,40,PART_OF
52,36,PART_OF
53,5,PART_OF
54,2,PART_OF
55,38,PART_OF
56,1,PART_OF
57,3,PART_OF
58,32,PART_OF
59,11,PART_OF
60,40,PART_OF
61,46,PART_OF
62,8,PART_OF
63,16,PART_OF
64,13,PART_OF
65,23,PART_OF
66,8,PART_OF
67,3,PART_OF
68,11,PART_OF
69,12,PART_OF
70,5,PART_OF
71,41,PART_OF
72,45,PART_OF
73,5,PART_OF
74,5,PART_OF
75,2,PART_OF
