start_id,end_id,relationship
1,44,WORKS_ON
2,67,WORKS_ON
3,54,WORKS_ON
4,28,WORKS_ON
5,59,WORKS_ON
6,2,WORKS_ON
7,17,WORKS_ON
8,38,WORKS_ON
9,48,WORKS_ON
10,6,WORKS_ON
11,23,WORKS_ON
12,26,WORKS_ON
13,15,WORKS_ON
14,21,WORKS_ON
15,44,WORKS_ON
16,64,WORKS_ON
17,10,WORKS_ON
18,44,WORKS_ON
19,65,WORKS_ON
20,21,WORKS_ON
21,51,WORKS_ON
22,63,WORKS_ON
23,15,WORKS_ON
24,23,WORKS_ON
25,28,WORKS_ON
26,5,WORKS_ON
27,59,WORKS_ON
28,18,WORKS_ON
29,52,WORKS_ON
30,61,WORKS_ON
31,14,WORKS_ON
32,35,WORKS_ON
33,45,WORKS_ON
34,17,WORKS_ON
35,73,WORKS_ON
36,4,WORKS_ON
37,74,WORKS_ON
38,22,WORKS_ON
39,2,WORKS_ON
40,50,WORKS_ON
41,30,WORKS_ON
42,65,WORKS_ON
43,59,WORKS_ON
44,27,WORKS_ON
45,17,WORKS_ON
46,72,WORKS_ON
47,18,WORKS_ON
48,40,WORKS_ON
49,63,WORKS_ON
50,61,WORKS_ON
51,59,WORKS_ON
52,60,WORKS_ON
53,71,WORKS_ON
54,38,WORKS_ON
55,2,WORKS_ON
56,53,WORKS_ON
57,16,WORKS_ON
58,30,WORKS_ON
59,23,WORKS_ON
60,41,WORKS_ON
61,2,WORKS_ON
62,6,WORKS_ON
63,22,WORKS_ON
64,20,WORKS_ON
65,65,WORKS_ON
66,2,WORKS_ON
67,74,WORKS_ON
68,3,WORKS_ON
69,39,WORKS_ON
70,68,WORKS_ON
71,34,WORKS_ON
72,36,WORKS_ON
73,38,WORKS_ON
74,45,WORKS_ON
75,21,WORKS_ON
76,3,WORKS_ON
77,55,WORKS_ON
78,65,WORKS_ON
79,29,WORKS_ON
80,23,WORKS_ON
81,34,WORKS_ON
82,26,WORKS_ON
83,10,WORKS_ON
84,62,WORKS_ON
85,71,WORKS_ON
86,44,WORKS_ON
87,66,WORKS_ON
88,32,WORKS_ON
89,53,WORKS_ON
90,70,WORKS_ON
91,24,WORKS_ON
92,52,WORKS_ON
93,54,WORKS_ON
94,58,WORKS_ON
95,66,WORKS_ON
96,39,WORKS_ON
97,26,WORKS_ON
98,32,WORKS_ON
99,61,WORKS_ON
100,23,WORKS_ON
101,51,WORKS_ON
102,59,WORKS_ON
103,18,WORKS_ON
104,75,WORKS_ON
105,42,WORKS_ON
106,69,WORKS_ON
107,45,WORKS_ON
108,55,WORKS_ON
109,59,WORKS_ON
110,70,WORKS_ON
111,59,WORKS_ON
112,17,WORKS_ON
113,1,WORKS_ON
114,39,WORKS_ON
115,31,WORKS_ON
116,5,WORKS_ON
117,62,WORKS_ON
118,30,WORKS_ON
119,61,WORKS_ON
120,48,WORKS_ON
121,37,WORKS_ON
122,11,WORKS_ON
123,35,WORKS_ON
124,38,WORKS_ON
125,68,WORKS_ON
126,38,WORKS_ON
127,43,WORKS_ON
128,42,WORKS_ON
129,47,WORKS_ON
130,67,WORKS_ON
131,67,WORKS_ON
132,65,WORKS_ON
133,65,WORKS_ON
134,53,WORKS_ON
135,17,WORKS_ON
136,64,WORKS_ON
137,66,WORKS_ON
138,12,WORKS_ON
139,8,WORKS_ON
140,16,WORKS_ON
141,9,WORKS_ON
142,11,WORKS_ON
143,55,WORKS_ON
144,38,WORKS_ON
145,44,WORKS_ON
146,59,WORKS_ON
147,59,WORKS_ON
148,74,WORKS_ON
149,52,WORKS_ON
150,47,WORKS_ON
151,14,WORKS_ON
152,30,WORKS_ON
153,58,WORKS_ON
154,43,WORKS_ON
155,54,WORKS_ON
156,34,WORKS_ON
157,7,WORKS_ON
158,72,WORKS_ON
159,44,WORKS_ON
160,57,WORKS_ON
161,25,WORKS_ON
